1461,相老,あいおい;aioi
3785,相生(岐阜),あいおい;aioi
4795,相生(兵庫),あいおい;aioi
9652,相生山,あいおいやま;aioiyama
8675,秋鹿町,あいかまち;aikamachi
4796,相川,あいかわ;aikawa
562,合川,あいかわ;aikawa
9476,愛環梅坪,あいかんうめつぼ;うめつぼ;aikanumetsubo
3786,相賀,あいが;aiga
1462,愛甲石田,あいこういしだ;aikoishida
2,愛山,あいざん;aizan
8799,愛大医学部南口,あいだいいがくぶみなみぐち;ehimeuniversityhospital
8483,愛知大学前,あいちだいがくまえ;だいがくまえ;aichidaigakumae
3787,愛知御津,あいちみと;aichimito
563,会津荒海,あいづあらかい;aizuarakai
564,会津大塩,あいづおおしお;aizuoshio
565,会津川口,あいづかわぐち;aizukawaguchi
566,会津蒲生,あいづがもう;aizugamo
3788,相月,あいづき;aizuki
567,会津高原尾瀬口,あいづこうげんおぜぐち;aizukogenozeguchi
568,会津越川,あいづこすがわ;aizukosugawa
569,会津坂本,あいづさかもと;aizusakamoto
9200,会津山村道場,あいづさんそんどうじょう;aizusansondojo
570,会津塩沢,あいづしおざわ;aizushiozawa
571,会津下郷,あいづしもごう;aizushimogo
572,会津高田,あいづたかだ;aizutakada
573,会津田島,あいづたじま;aizutajima
574,会津豊川,あいづとよかわ;aizutoyokawa
575,会津中川,あいづなかがわ;aizunakagawa
576,会津長野,あいづながの;aizunagano
577,会津西方,あいづにしかた;aizunishikata
578,会津坂下,あいづばんげ;aizubange
579,会津桧原,あいづひのはら;aizuhinohara
580,会津本郷,あいづほんごう;aizuhongo
3789,逢妻,あいづま;aizuma
581,会津水沼,あいづみずぬま;aizumizunuma
582,会津宮下,あいづみやした;aizumiyashita
583,会津柳津,あいづやないづ;aizuyanaizu
584,会津横田,あいづよこた;aizuyokota
585,会津若松,あいづわかまつ;aizuwakamatsu
4797,藍那,あいな;aina
4798,相野,あいの;aino
7311,愛野(長崎),あいの;aino
9189,愛野(静岡),あいの;aino
7312,相浦,あいのうら;ainoura
6170,相ノ木,あいのき;ainoki
3,あいの里教育大,あいのさときょういくだい;ainosatokyoikudai
4,あいの里公園,あいのさとこうえん;ainosatokoen
5,相内,あいのない;ainonai
586,相野々,あいのの;ainono
1463,相原,あいはら;aihara
6,愛別,あいべつ;aibetsu
9656,相見,あいみ;aimi
4799,藍本,あいもと;aimoto
6171,愛本,あいもと;aimoto
7313,姶良,あいら;aira
4800,アイランド北口,あいらんどきたぐち;islandkitaguchi
4801,アイランドセンター,あいらんどせんたー;islandcenter
9485,愛・地球博記念公園,あいちきゅうはくきねんこうえん;あいちきゅうはくきねんこうえん;aichikyuhakukinenkoen
4802,粟生,あお;ao
9490,青井,あおい;aoi
7314,青井岳,あおいだけ;aoidake
3304,粟生津,あおうづ;aozu
4803,青倉,あおくら;aokura
587,青笹,あおざさ;aozasa
7315,青島,あおしま;aoshima
3791,青塚,あおつか;aotsuka
1464,青砥,あおと;aoto
3305,青沼,あおぬま;aonuma
4804,青野ケ原,あおのがはら;aonogahara
4805,青郷,あおのごう;aonogo
6374,青野山,あおのやま;aonoyama
6375,青原,あおはら;aohara
7,青葉,あおば;aoba
1465,青葉台,あおばだい;aobadai
588,あおば通,あおばどおり;aobadoriavenue
9696,青葉通一番町,あおばどおりいちばんちょう;aobadoriichibancho
9692,青葉山,あおばやま;aobayama
8417,青部,あおべ;aobe
1466,青堀,あおほり;aohori
1467,青海(東京),あおみ;おうみ;aomi
1468,青物横丁,あおものよこちょう;aomonoyokocho
589,青森,あおもり;aomori
6376,青谷,あおや;aoya
3306,青柳,あおやぎ;aoyagi
8197,青柳町,あおやぎちょう;aoyagicho
3307,青山(新潟),あおやま;aoyama
9518,青山(岩手),あおやま;aoyama
4699,青山(愛知),あおやま;みなみならわ;aoyama
1469,青山一丁目,あおやまいっちょうめ;aoyamaitchome
4806,青山町,あおやまちょう;aoyamacho
9282,赤,あか;aka
590,赤井,あかい;akai
8,赤井川,あかいがわ;akaigawa
3792,赤池(愛知),あかいけ;akaike
7316,赤池(福岡),あかいけ;akaike
9074,赤池(岐阜),あかいけ;akaike
591,赤岩,あかいわ;akaiwa
8418,赤岩口,あかいわぐち;akaiwaguchi
9229,あかおか,あかおか;akaoka
592,赤川,あかがわ;akagawa
1470,赤城,あかぎ;akagi
3309,赤木,あかぎ;akagi
593,赤倉温泉,あかくらおんせん;akakuraonsen
